lambdaA,kN,kA,c,mu,sigma,P0,fit,con,model,bias,xc,phi,epsilon
0,-1.950394753,-0.789543453,-0.506904599,-0.280538931,0.476024798,3.145147654,1.706977851,0,reduced,stages,0.5,2,0
0,-1.914553281,-0.749991027,-0.408574463,-0.063428591,0.315110625,2.95804537,1.68040101,0,reduced,stages,0.5,3,0
0,-2.224394772,-1.055025047,-0.833969147,-12.27703745,1.91532483,6.228681731,1.513587174,0,reduced,stages,0.5,0,0.25
0,-2.192483942,-0.99388258,-0.865436949,-11.15636318,1.853849443,6.060515805,1.359265725,0,reduced,stages,0.5,1,0.25
0,-2.185762617,-0.97694999,-0.884513651,-6.742068237,1.613282456,5.19432078,1.341185575,0,reduced,stages,0.5,2,0.25
0,-2.182691493,-0.967408544,-0.90344006,-5.520797453,1.539452381,4.915425841,1.329224082,0,reduced,stages,0.5,3,0.25
0,-2.451343112,-1.213216507,-1.299597748,-11.20732888,1.833979921,6.116568387,1.670209728,0,reduced,stages,0.5,0,0.5
0,-2.433142527,-1.17151567,-1.301182893,-11.53533096,1.843613972,6.190827722,1.465605237,0,reduced,stages,0.5,1,0.5
0,-2.430691468,-1.158674827,-1.381628991,-14.27387419,1.954015586,6.677258451,1.452458036,0,reduced,stages,0.5,2,0.5
0,-2.428804857,-1.147592406,-1.421577475,-11.80790054,1.863583436,6.217639162,1.461169906,0,reduced,stages,0.5,3,0.5
0,-2.698445539,-1.412207601,-1.558573943,-22.23005278,2.157308055,8.145891823,1.932379236,0,reduced,stages,0.5,0,0.75
0,-2.679024735,-1.345006253,-1.694119759,-13.62390919,1.91523362,6.609607966,1.874583747,0,reduced,stages,0.5,1,0.75
0,-2.67013775,-1.328490401,-1.677039511,-13.90955211,1.930031925,6.650065394,1.878005469,0,reduced,stages,0.5,2,0.75
0,-2.670747533,-1.316175717,-1.735250973,-5.293499884,1.47719824,4.88596197,1.907622131,0,reduced,stages,0.5,3,0.75
0,-3.012211868,-1.614738447,-2.038292268,-8.208938925,1.665775942,5.551904391,2.481030243,0,reduced,stages,0.5,0,1
0,-2.985995196,-1.547502341,-2.270242852,-12.54325548,1.863564002,6.438951788,2.465355615,0,reduced,stages,0.5,1,1
0,-3.0147824,-1.56086794,-1151.816536,-25.34227093,2.151122774,9.190001082,2.495866244,0,reduced,stages,0.5,2,1
0,-3.007337189,-1.540869162,-2403.299521,-19.91579412,2.035398416,8.110516904,2.522804884,0,reduced,stages,0.5,3,1
0,-1.954291052,-0.851600186,-0.975168736,-5.615022256,1.486001743,4.991475983,1.694160121,0,reduced,,,,
0,-1.749782437,-0.674877087,-0.64025525,-6.466069153,1.475287415,5.283008965,1.6710165,0,reduced,,,,
0,-1.652317954,-0.525622488,-0.393535879,-4.636738278,1.230137024,4.882110838,1.768253454,0,reduced,,,,
0,-1.556553868,-0.419644616,-0.264016083,-9.944951706,1.504565902,6.701114985,1.85661719,0,reduced,,,,
0,-1.881049388,-0.76482802,-0.118271957,0.08994444,0.238099601,2.86381395,1.626859567,0,reduced,,,,
0,-1.822697374,-0.716012851,-0.132667437,0.238673912,-0.126515689,2.500337711,1.658098375,0,reduced,,,,
0,-1.652213172,-0.556265996,0.249624594,0.303016462,-0.276047093,2.357914038,1.70973864,0,reduced,,,,
0,-1.557089428,-0.416580433,0.397956728,0.319751186,-0.473635476,2.173769905,1.781847421,0,reduced,,,,
0,-1.946396026,-0.842083569,-1.099069876,-13.80041547,1.912866354,6.688701729,1.70245406,0,reduced,,,,
0,-1.982841758,-0.850855837,-1.453100597,-13.21743571,1.84950312,6.713412074,1.733728584,0,reduced,,,,
0,-1.932032576,-0.789377823,-1.282626155,-7.430872191,1.576687005,5.457700837,1.733062461,0,reduced,,,,
0,-1.873125735,-0.727589642,-1.094213565,-8.190749107,1.625113912,5.629027336,1.703277131,0,reduced,,,,
0,-1.873241317,-0.754948736,-0.222695413,-0.193264223,0.500125565,3.152133263,1.632668183,0,reduced,,,,
0,-1.951973091,-0.805093916,-0.671693931,-3.145631108,1.252383027,4.334747752,1.718529594,0,reduced,,,,
0,-1.944604595,-0.781187584,-0.676675707,-2.616306297,1.173486416,4.177950806,1.718863177,0,reduced,,,,
0,-1.919653979,-0.74908073,-0.593973624,-1.103902901,0.843695224,3.626000985,1.692956597,0,reduced,,,,
0,-1.953831815,-0.851139432,-0.973954425,-6.078379459,1.522535257,5.100363913,1.694007267,0,reduced,,,,
0,-1.980522672,-0.851785169,-1.244741982,-10.81232495,1.753930038,6.207726724,1.721349871,0,reduced,,,,
0,-1.968125083,-0.823837664,-1.230933173,-3.917337127,1.280204882,4.572531268,1.719498642,0,reduced,,,,
0,-1.901852811,-0.755330929,-1.029286258,-4.659194688,1.36101079,4.776459253,1.690939,0,reduced,,,,
0,-1.879819941,-0.77052358,-0.128409176,0.118194917,0.193817872,2.819047691,1.627170903,0,reduced,,,,
0,-1.957607605,-0.814991699,-0.508000319,-0.286678924,0.479057872,3.149162601,1.707026333,0,reduced,,,,
0,-1.951084847,-0.791825809,-0.515118215,-0.263881754,0.463963896,3.131116348,1.70672242,0,reduced,,,,
0,-1.919700241,-0.753672187,-0.4236405,-0.093361813,0.340992879,2.987209139,1.680119088,0,reduced,,,,
